avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
163, White/Opti Yellow ,199,170,323,6.7,Nike Air Max 90 Undefeated White Optic Yellow, 12/30/2019 ,150, CJ7197 101 ,25.8
326, White/Dark Obsidian-Neutral Grey-Black ,404,297,362,181.3,Nike Air Max 1 Anniversary Obsidian, 12/15/2017 ,140, 908375-104 ,11.9
261, Black/Black-Action Red ,330,285,381,38.6,Nike Zoom Rookie Galaxy (2019), 02/22/2019 ,220, CI2120-001 ,15.3
257, White/White ,330,270,484,150,Nike Air Force 1 Low Roc-A-Fella (AF100), 11/30/2017 ,150, AO1070-101 ,9
802, Black/Black ,869,800,655,114.9,Nike Air Fear Of God 1 Black, 12/15/2018 ,395, AR4237-001 ,6.8
517, Orange Pulse/Orange Pulse-Orange Pulse ,600,545,674,60,Nike Air Fear Of God 1 Orange Pulse, 06/01/2019 ,350, AR4237-800 ,15.7
110, Team Red/Sail-Pink Blast ,128,91,776,-15.6,Nike Air Force 1 High Emotionally Unavailable, 03/14/2019 ,160, AV5840-600 ,16
109, Game Royal/White ,115,72,1126,-15.8,Nike Blazer Mid Stranger Things Independence Day Pack, 07/12/2019 ,120, CK1906-400 ,16.1
104, Red/White ,160,114,1136,4.2,Nike Classic Cortez Stranger Things Independence Day Pack, 07/12/2019 ,120, CK1907-600 ,6.6
209, University Red/Metallic Gold ,255,231,4098,79.8,Nike Kyrie 2 Low Spongebob Mr Krabs, 08/10/2019 ,120, CJ6953-600/CJ6952-600 ,9.4
233, Fir/Multi-Color ,351,219,4105,71.7,Nike Kobe 4 Protro Undefeated Milwaukee Bucks, 08/24/2019 ,180, CQ3869-301 ,11
278, White/Black-Hyper Jade ,388,267,4266,153.1,Nike Air Force 1 Low NYC City of Athletes, 10/17/2019 ,130, CT3610-100 ,12.3
119, White/Particle Grey-Royal Blue ,115,106,103,-9.3,Nike Air Max 90 Recraft Royal (W), 01/09/2020 ,140, CD0490-100 ,7.1
179, Medium Olive/Black-Desert Sand-Ridgerock ,180,150,164,16.7,Nike Air Max 97 Country Camo (USA), 12/21/2017 ,180, AJ2614-205 ,14.7
1175, White/White ,1350,1300,164,1424.7,Nike Air Force 1 Low Travis Scott (AF100), 12/02/2017 ,150, AQ4211-100 ,15.7
140, Mahogany/White-Pueblo Brown-String ,155,103,164,-6.6,Nike React Presto Undercover Mahogany, 01/28/2020 ,180, CU3459-200 ,13.6
814, White/White-Muslin ,900,700,204,488.4,Nike Zoom Fly Off-White, 11/01/2017 ,170, AJ4588-100 ,10.7
1337, Black/White-Clear ,1300,1280,219,360,Nike Air VaporMax Off-White, 09/09/2017 ,250, AA3831-001 ,14.1
284, Multi-Color/Black-Vivid Sulfur ,352,273,224,106.2,Nike Air Max 97 Ultra 17 Skepta, 09/02/2017 ,180, AJ1988-900 ,15
1466, Sail/White-Muslin ,1864,1386,288,993.1,Nike Air Max 90 OFF-WHITE, 09/09/2017 ,160, AA7293-100 ,11.4
363, Pony/Sport Red-Black-Classic Green ,775,360,394,85,Nike Air Max 95 Atmos Animal Pack 2.0 (2018 All Black Box), 03/17/2018 ,200, AQ0929-200 ,15.7
183, Orange/Red-Black ,170,107,511,-1.1,Nike Air Mowabb Olivia Kim No Cover (W), 11/08/2019 ,190, CK3312-001 ,9.5
629, Rose Gold/White-Gum Medium Brown ,620,440,896,88.4,Nike Air Force 1 Low Clot Rose Gold Silk (Regular Box), 01/25/2020 ,250, CJ5290-600 ,49.7
395, Wheat/Sport Red-Bison-Classic Green ,576,369,960,160.6,Nike Air Max 1 Atmos Animal Pack 2.0 (2018 All Black Box), 03/17/2018 ,160, AQ0928-700 ,27.9
508, Ice Blue/Red-White ,491,340,1023,205.3,Nike Air Max 97 Shanghai Kaleidoscope, 04/13/2019 ,200, CI1508-400 ,11
352, Multi-Color/Multi-Color ,626,476,1105,293.6,Nike SB Dunk High Dog Walker, 04/20/2019 ,110, BQ6827-300 ,8.1
269, Hyper Teal/Mango-White ,475,220,2284,94.4,Nike Kobe 4 Protro Undefeated San Antonio Spurs, 08/24/2019 ,180, CQ3869-300 ,17.6
2107, Black/Black-Muslin ,2183,1850,308,1275,Nike Air Presto Off-White, 09/09/2017 ,160, AA3830-001 ,4.6
100, Navy/Yellow-Sail ,105,73,416,-38.3,Nike Air Force 1 Low Olivia Kim No Cover (W), 12/08/2019 ,120, CK3314-400 ,26.5
637, Voltage Purple/Voltage Purple ,1000,950,638,700,Nike SB Dunk Low Concepts Purple Lobster, 12/14/2018 ,130, BV1310-555 ,8.7
135, Total Orange/Black-Metallic Silver ,171,135,1434,58.3,Nike PG 3 NASA, 01/26/2019 ,120, CI2666-800 ,13.4
232, Team Orange/Court Purple-White ,295,185,2169,83.3,Nike Kobe 4 Protro Undefeated Phoenix Suns, 08/24/2019 ,180, CQ3869-800 ,44.1
198, Lotus Pink/University Red ,285,245,6196,89.2,Nike Kyrie 5 Spongebob Patrick, 08/10/2019 ,130, CJ6951-600/CJ6950-600 ,16.8
778, Black/Total Crimson-Clear ,1438,725,949,210,Nike Air VaporMax Off-White Black, 03/30/2018 ,250, AA3831-002 ,12
746, Multi-Color/Multi-Color ,1150,625,954,280,Nike Air VaporMax 2019 Cactus Plant Flea Market (W), 05/14/2019 ,250, CD7001 300 ,20.4
130, Sail/Sail-Deep Royal Blue-Sail ,129,116,2892,,Nike Air Tailwind 79 Stranger Things Sail Upside Down Pack, 08/13/2019 ,120, CJ6110-100 ,11.2
133, White/Black-Multi-Color ,250,145,5214,90,Nike Air Force 1 Low Day of the Dead (2019), 10/25/2019 ,100, CT1138-100 ,28.5
485, White/Black/Varsity Red ,500,385,56,,Nike LeBron 4 Graffiti NYC, 11/11/2006 ,, BAM284-M43-C1 ,16.4
161, Desert Sand/Cool Grey-Smokey Mauve ,175,161,222,3.1,Nike React Element 87 Desert Sand, 08/14/2018 ,160, AQ1090-002 ,18.2
